Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2023-04-13,X (Nov 2023),23.9800,24.0000,23.6000,23.6500,23.675,-0.300,611,0,4657
2023-04-14,X (Nov 2023),23.7500,24.0000,23.7000,23.8500,23.90,0.225,894,0,4932
2023-04-17,X (Nov 2023),23.8000,23.8500,23.5100,23.7000,23.70,-0.20,659,0,5153
2023-04-18,X (Nov 2023),23.7500,23.9500,23.7000,23.8500,23.8096,0.1096,714,0,5417
2023-04-19,X (Nov 2023),23.9000,24.1000,23.7500,23.8700,23.90,0.0904,1859,0,6184
2023-04-20,X (Nov 2023),23.9500,24.2500,23.8500,24.1100,24.1018,0.2018,1330,0,6642
2023-04-21,X (Nov 2023),24.1000,24.2300,24.0000,24.1700,24.15,0.0482,1285,0,6931
2023-04-24,X (Nov 2023),24.2000,24.3000,24.1000,24.1200,24.15,0.00,693,0,7054
2023-04-25,X (Nov 2023),24.1200,24.9500,24.1000,24.7200,24.90,0.75,1465,0,7428
2023-04-26,X (Nov 2023),24.7000,24.8100,24.3100,24.6000,24.6227,-0.2773,1405,0,7725
2023-04-27,X (Nov 2023),24.5800,24.6000,24.2600,24.3500,24.40,-0.2227,1391,0,7766
2023-04-28,X (Nov 2023),24.4000,24.6000,24.3000,24.3700,24.40,0.00,1115,0,7727
2023-05-01,X (Nov 2023),24.3500,24.4200,23.9900,24.2500,24.15,-0.25,897,0,7727
2023-05-02,X (Nov 2023),24.3000,25.0100,24.1500,24.4700,24.45,0.30,1338,0,7944
2023-05-03,X (Nov 2023),24.4900,25.0000,24.3000,24.9500,24.7955,0.3455,1514,0,8052
2023-05-04,X (Nov 2023),25.0500,25.3000,24.7500,25.2000,25.20,0.4045,2062,0,8049
2023-05-05,X (Nov 2023),25.1000,25.1000,24.4000,24.5500,24.5031,-0.6969,1400,0,8423
2023-05-08,X (Nov 2023),24.5500,24.7000,24.3700,24.4200,24.40,-0.1031,1710,0,8835
2023-05-09,X (Nov 2023),24.4500,24.5300,24.2700,24.3700,24.3646,-0.0354,1401,0,8866
2023-05-10,X (Nov 2023),24.4300,24.5500,24.0300,24.1000,24.126,-0.2386,1332,0,8810
2023-05-11,X (Nov 2023),24.1000,24.4500,23.9000,23.9000,23.95,-0.176,2712,0,8532
2023-05-12,X (Nov 2023),23.9500,24.2200,23.8200,24.0700,24.10,0.15,1781,0,8807
2023-05-15,X (Nov 2023),24.1000,24.1300,23.9000,23.9500,23.95,-0.15,2231,0,9557
2023-05-16,X (Nov 2023),23.9500,24.3600,23.9500,24.2500,24.3141,0.3641,3149,0,9768
2023-05-17,X (Nov 2023),24.3000,24.3000,23.8700,23.9000,23.95,-0.3641,3426,0,10108
2023-05-18,X (Nov 2023),23.9100,23.9500,23.6500,23.6800,23.7023,-0.2477,3407,0,10230
2023-05-19,X (Nov 2023),23.7300,24.1100,23.5000,24.1000,24.10,0.3977,5581,0,11606
2023-05-22,X (Nov 2023),24.1500,24.2000,23.7600,23.8300,23.8741,-0.2259,2910,0,11998
2023-05-23,X (Nov 2023),23.8000,24.1200,23.6800,23.8900,23.8882,0.0141,2484,0,12286
2023-05-24,X (Nov 2023),23.8500,24.0700,23.8000,23.8400,23.9423,0.0541,4533,0,12112
2023-05-25,X (Nov 2023),23.8000,24.0000,23.6500,23.7800,23.761,-0.1813,3457,0,11863
2023-05-26,X (Nov 2023),23.8000,23.8100,23.1800,23.2200,23.2949,-0.4661,2088,0,12126
2023-05-30,X (Nov 2023),23.1000,23.3500,22.8200,23.1200,23.1827,-0.1122,2963,0,12246
2023-05-31,X (Nov 2023),23.1600,23.3500,22.9100,22.9700,22.9965,-0.1862,3037,0,12665
2023-06-01,X (Nov 2023),23.0000,23.0100,22.2000,22.2300,22.2418,-0.7547,4138,0,12213
2023-06-02,X (Nov 2023),22.3000,22.3000,21.5000,21.8400,21.7457,-0.4961,5011,0,12556
2023-06-05,X (Nov 2023),21.8500,21.9000,21.5000,21.5700,21.5987,-0.1470,2263,0,12933
2023-06-06,X (Nov 2023),21.5700,21.6200,20.7500,20.9100,20.8492,-0.7495,5887,0,13101
2023-06-07,X (Nov 2023),20.9100,21.0700,20.8500,20.9800,20.95,0.1008,4208,0,13652
2023-06-08,X (Nov 2023),21.0000,21.0500,20.5500,20.6000,20.599,-0.351,2737,0,13759
2023-06-09,X (Nov 2023),20.6000,20.7100,20.4100,20.5200,20.5122,-0.0868,3599,0,13840
2023-06-12,X (Nov 2023),20.5000,20.8000,20.4500,20.4700,20.5039,-0.0083,3261,0,13882
2023-06-13,X (Nov 2023),20.5000,20.6100,20.2600,20.5700,20.4613,-0.0426,4349,0,13358
2023-06-14,X (Nov 2023),20.6000,20.6700,20.2000,20.2800,20.2583,-0.2030,4885,0,13974
2023-06-15,X (Nov 2023),20.3000,20.4500,20.1500,20.4200,20.4492,0.1909,4005,0,14256
2023-06-16,X (Nov 2023),20.4100,20.5000,19.9200,20.1000,20.05,-0.3992,5286,0,14733
